hour,messages
0,200793
1,193862
2,190372
3,183848
4,174602
5,161886
6,158123
7,158012
8,166861
9,176773
10,178683
11,183889
12,191811
13,201369
14,219795
15,236249
16,248007
17,250353
18,257355
19,262723
20,261820
21,248619
22,229701
23,214492
