channel,date,is_release,hour,messages
#ubuntu,2013-02-07,False,19,99
#ubuntu,2013-02-07,False,20,79
#ubuntu,2013-02-07,False,21,244
#ubuntu,2013-02-07,False,22,205
#ubuntu,2013-02-07,False,23,247
#ubuntu,2013-02-14,False,0,168
#ubuntu,2013-02-14,False,1,123
#ubuntu,2013-02-14,False,2,145
#ubuntu,2013-02-14,False,3,86
#ubuntu,2013-02-14,False,4,195
#ubuntu,2013-02-14,False,5,237
#ubuntu,2013-02-14,False,6,159
#ubuntu,2013-02-14,False,7,131
#ubuntu,2013-02-14,False,8,121
#ubuntu,2013-02-14,False,9,166
#ubuntu,2013-02-14,False,10,128
#ubuntu,2013-02-14,False,11,133
#ubuntu,2013-02-14,False,12,129
#ubuntu,2013-02-14,False,13,204
#ubuntu,2013-02-14,False,14,207
#ubuntu,2013-02-14,False,15,260
#ubuntu,2013-02-14,False,16,209
#ubuntu,2013-02-14,False,17,264
#ubuntu,2013-02-14,False,18,211
#ubuntu,2013-02-14,False,19,145
#ubuntu,2013-02-14,False,20,105
#ubuntu,2013-02-14,False,21,149
#ubuntu,2013-02-14,False,22,244
#ubuntu,2013-02-14,False,23,164
#ubuntu,2013-02-21,False,0,144
#ubuntu,2013-02-21,False,1,270
#ubuntu,2013-02-21,False,2,235
#ubuntu,2013-02-21,False,3,239
#ubuntu,2013-02-21,False,4,278
#ubuntu,2013-02-21,False,5,344
#ubuntu,2013-02-21,False,6,392
#ubuntu,2013-02-21,False,7,200
#ubuntu,2013-02-21,False,8,127
#ubuntu,2013-02-21,False,9,134
#ubuntu,2013-02-21,False,10,78
#ubuntu,2013-02-21,False,11,109
#ubuntu,2013-02-21,False,12,115
#ubuntu,2013-02-21,False,13,102
#ubuntu,2013-02-21,False,14,126
#ubuntu,2013-02-21,False,15,69
#ubuntu,2013-02-21,False,16,154
#ubuntu,2013-02-21,False,17,207
#ubuntu,2013-02-21,False,18,278
#ubuntu,2013-02-21,False,19,296
#ubuntu,2013-02-21,False,20,404
#ubuntu,2013-02-21,False,21,262
#ubuntu,2013-02-21,False,22,146
#ubuntu,2013-02-21,False,23,125
#ubuntu,2013-02-28,False,0,85
#ubuntu,2013-02-28,False,1,63
#ubuntu,2013-02-28,False,2,276
#ubuntu,2013-02-28,False,3,213
#ubuntu,2013-02-28,False,4,239
#ubuntu,2013-02-28,False,5,163
#ubuntu,2013-02-28,False,6,65
#ubuntu,2013-02-28,False,7,190
#ubuntu,2013-02-28,False,8,279
#ubuntu,2013-02-28,False,9,150
#ubuntu,2013-02-28,False,10,184
#ubuntu,2013-02-28,False,11,161
#ubuntu,2013-02-28,False,12,240
#ubuntu,2013-02-28,False,13,150
#ubuntu,2013-02-28,False,14,227
#ubuntu,2013-02-28,False,15,307
#ubuntu,2013-02-28,False,16,405
#ubuntu,2013-02-28,False,17,138
#ubuntu,2013-02-28,False,18,155
#ubuntu,2013-02-28,False,19,186
#ubuntu,2013-02-28,False,20,311
#ubuntu,2013-02-28,False,21,171
#ubuntu,2013-02-28,False,22,126
#ubuntu,2013-02-28,False,23,187
#ubuntu,2013-03-07,False,0,279
#ubuntu,2013-03-07,False,1,228
#ubuntu,2013-03-07,False,2,144
#ubuntu,2013-03-07,False,3,255
#ubuntu,2013-03-07,False,4,193
#ubuntu,2013-03-07,False,5,358
#ubuntu,2013-03-07,False,6,356
#ubuntu,2013-03-07,False,7,244
#ubuntu,2013-03-07,False,8,250
#ubuntu,2013-03-07,False,9,223
#ubuntu,2013-03-07,False,10,289
#ubuntu,2013-03-07,False,11,150
